epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7685.42,1.09426,0.97901,1.39062,0.92679,0.94545,0.94832,0.5548,1.4133,0.58242,1.77676,0.005842,0.005842,0.005842
44,7870.8,1.10026,0.97918,1.39206,0.92533,0.94753,0.94942,0.55473,1.41881,0.59676,1.76026,0.005743,0.005743,0.005743
45,8061.34,1.09529,0.97632,1.38392,0.9269,0.94883,0.94853,0.55584,1.42473,0.58473,1.77752,0.005644,0.005644,0.005644
46,8252.71,1.08967,0.96682,1.38827,0.93189,0.95371,0.95765,0.55009,1.42129,0.60132,1.76699,0.005545,0.005545,0.005545
47,8438.91,1.08583,0.96827,1.38872,0.91982,0.94428,0.94545,0.55663,1.4029,0.61553,1.74827,0.005446,0.005446,0.005446
48,8623.81,1.08464,0.95943,1.38409,0.92625,0.94594,0.94904,0.55495,1.44173,0.58784,1.77866,0.005347,0.005347,0.005347
49,8808.04,1.09212,0.96674,1.39119,0.92688,0.94594,0.94555,0.55012,1.42415,0.59922,1.7629,0.005248,0.005248,0.005248
50,9002.43,1.08267,0.96324,1.38484,0.92017,0.94034,0.94415,0.54891,1.41769,0.58267,1.77234,0.005149,0.005149,0.005149
51,9197.16,1.08422,0.96095,1.38004,0.92515,0.9456,0.94533,0.54735,1.45026,0.5938,1.78273,0.00505,0.00505,0.00505
52,9382.3,1.08233,0.94599,1.38025,0.92642,0.94557,0.94877,0.55182,1.45629,0.57971,1.78694,0.004951,0.004951,0.004951
53,9576.41,1.07638,0.93172,1.37656,0.92216,0.94444,0.94518,0.55151,1.45357,0.57085,1.78516,0.004852,0.004852,0.004852
54,9763.27,1.06258,0.93872,1.3698,0.92607,0.94563,0.94562,0.55561,1.44095,0.57657,1.77398,0.004753,0.004753,0.004753
55,9949.11,1.05929,0.9307,1.36826,0.92492,0.9413,0.94408,0.55228,1.40698,0.58631,1.75409,0.004654,0.004654,0.004654
56,10139.9,1.06157,0.94285,1.37007,0.92249,0.94452,0.94361,0.55658,1.39825,0.59252,1.75338,0.004555,0.004555,0.004555
