epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,440.206,0.72289,0.79187,1.12446,0.87883,0.88129,0.94583,0.85485,0.50937,0.51815,0.93521,0.000197835,0.000197835,0.000197835
43,450.359,0.69034,0.74378,1.10374,0.86428,0.86162,0.94243,0.85732,0.5144,0.61241,0.94382,0.000194539,0.000194539,0.000194539
44,460.312,0.71468,0.75177,1.1232,0.91815,0.89058,0.94381,0.84457,0.52878,0.52027,0.93755,0.000191242,0.000191242,0.000191242
45,470.43,0.6961,0.72964,1.09304,0.92149,0.86777,0.93478,0.82222,0.59545,0.58683,0.97033,0.000187945,0.000187945,0.000187945
46,480.565,0.72776,0.75394,1.10804,0.88465,0.85872,0.94499,0.84926,0.52431,0.61737,0.94784,0.000184649,0.000184649,0.000184649
47,490.431,0.70239,0.77977,1.11388,0.87093,0.89585,0.94755,0.85039,0.52044,0.51083,0.93727,0.000181352,0.000181352,0.000181352
48,500.296,0.68021,0.70328,1.09166,0.89034,0.85301,0.94175,0.84392,0.54866,0.61951,0.95357,0.000178055,0.000178055,0.000178055
49,510.361,0.67995,0.67834,1.11718,0.90136,0.88525,0.95611,0.86847,0.47763,0.5246,0.91623,0.000174758,0.000174758,0.000174758
50,520.27,0.66801,0.71156,1.09105,0.9025,0.86705,0.95621,0.84913,0.5702,0.55154,0.95586,0.000171462,0.000171462,0.000171462
51,530.36,0.67207,0.72906,1.09558,0.88419,0.88224,0.94583,0.8453,0.53413,0.56385,0.94378,0.000168165,0.000168165,0.000168165
52,541.186,0.65994,0.69874,1.09774,0.8808,0.89033,0.95023,0.85968,0.51621,0.50833,0.94538,0.000164868,0.000164868,0.000164868
53,551.227,0.65443,0.66253,1.06783,0.92548,0.86574,0.95232,0.87975,0.4389,0.52831,0.90427,0.000161572,0.000161572,0.000161572
